City Name,Country,Latitude,Longitude,Date,Temp,Humidity,Cloud Coverage,Wind Speed
Punta Arenas,CL,-53.16,-70.91,1570555524,48.2,39,75,33.33
Puerto Ayora,EC,-0.74,-90.35,1570555523,75.2,60,20,21.92
Lagoa,PT,37.14,-8.45,1570555694,78.01,69,0,5.82
Sindou,BF,10.66,-5.16,1570555695,81.41,71,91,0.81
Georgetown,GY,6.8,-58.16,1570555433,89.6,62,75,13.87
Okmulgee,US,35.62,-95.96,1570555695,71.6,49,1,12.75
Pisco,PE,-13.71,-76.2,1570555696,71.6,30,90,10.29
Upernavik,GL,72.79,-56.15,1570555696,27.59,50,99,4.61
Arraial do Cabo,BR,-22.97,-42.02,1570555533,80.6,78,40,10.29
Trinidad,BO,-14.83,-64.9,1570555698,86.0,62,20,2.03
Rio Grande,BR,-32.03,-52.1,1570555698,80.6,51,40,11.41
Naze,NG,5.43,7.07,1570555699,77.0,94,75,3.36
Atuona,PF,-9.8,-139.03,1570555594,79.07,73,5,14.88
Thompson,CA,55.74,-97.86,1570555654,53.6,66,75,11.41
Albany,US,42.65,-73.75,1570555700,64.99,52,75,3.36
Pa Sang,TH,18.53,98.94,1570555701,75.2,83,20,1.0
Rikitea,PF,-23.12,-134.97,1570555506,67.19,85,100,11.79
Luderitz,NA,-26.65,15.16,1570555702,62.6,72,0,21.92
New Norfolk,AU,-42.78,147.06,1570555702,46.0,75,75,10.29
Chauny,FR,49.61,3.22,1570555703,57.2,76,80,11.41
Bethel,US,60.79,-161.76,1570555588,44.6,100,90,9.17
Ushuaia,AR,-54.81,-68.31,1570555525,44.6,91,75,27.51
Constitucion,MX,23.99,-104.67,1570555704,69.01,37,5,3.36
Dikson,RU,73.51,80.55,1570555556,21.47,78,0,10.29
Camabatela,AO,-8.19,15.37,1570555705,72.41,89,94,3.11
Hay River,CA,60.82,-115.79,1570555706,32.0,75,90,25.28
Bathsheba,BB,13.22,-59.52,1570555526,87.8,66,20,17.22
Mataura,NZ,-46.19,168.86,1570555560,50.0,97,100,1.01
Kawalu,ID,-7.38,108.21,1570555707,66.11,83,41,2.86
Longyearbyen,NO,78.22,15.63,1570555708,35.6,93,75,2.13
Pecos,US,31.42,-103.49,1570555708,77.0,43,1,3.36
Kapaa,US,22.08,-159.32,1570555507,73.4,88,1,5.82
Barrow,AR,-38.31,-60.23,1570555709,64.31,37,66,13.05
Yellowknife,CA,62.45,-114.38,1570555710,30.2,80,75,19.46
Castro,CL,-42.48,-73.76,1570555519,53.6,66,75,10.29
Jamestown,AU,-33.21,138.6,1570555535,37.49,86,0,9.91
Sao Joao da Barra,BR,-21.64,-41.05,1570555610,86.0,55,20,13.87
Zhigansk,RU,66.77,123.37,1570555712,26.51,83,99,8.06
Khatanga,RU,71.98,102.47,1570555549,17.15,91,55,7.16
Acapulco,MX,16.86,-99.88,1570555713,77.0,88,90,5.82
Busselton,AU,-33.64,115.35,1570555713,60.01,51,100,15.1
Bluff,AU,-23.58,149.07,1570555265,68.45,32,34,12.3
Sampit,ID,-2.54,112.95,1570555714,74.03,95,19,1.43
Toplet,RO,44.8,22.39,1570555718,38.93,80,39,3.69
Butaritari,KI,3.07,172.79,1570555550,85.55,63,100,9.82
Lazaro Cardenas,MX,28.39,-105.62,1570555719,80.01,53,5,13.87
Avera,US,33.19,-82.53,1570555719,86.0,54,75,8.05
Santa Marta,CO,11.24,-74.21,1570555720,91.4,66,90,5.82
Fairbanks,US,64.84,-147.72,1570555521,32.0,100,90,4.7
Nome,US,30.04,-94.42,1570555721,79.0,68,75,5.82
Dhidhdhoo,MV,6.88,73.1,1570555544,82.49,76,98,10.54
Fort Nelson,CA,58.81,-122.69,1570555722,32.0,47,75,8.05
Hermanus,ZA,-34.42,19.24,1570555722,66.0,70,17,8.99
Hailar,CN,49.2,119.7,1570555723,41.45,73,0,9.22
Jeremie,HT,18.65,-74.12,1570555723,83.57,60,35,5.64
Grindavik,IS,63.84,-22.43,1570555545,53.6,76,100,4.7
Tasiilaq,GL,65.61,-37.64,1570555557,42.8,60,75,6.93
Brae,GB,60.4,-1.35,1570555725,51.8,93,20,16.11
Peniche,PT,39.36,-9.38,1570555726,79.0,64,20,20.8
Port Alfred,ZA,-33.59,26.89,1570555727,63.0,88,0,7.23
Kavieng,PG,-2.57,150.8,1570555727,84.65,73,26,10.85
Cockburn Town,TC,21.46,-71.14,1570555728,83.03,80,98,16.08
Mount Isa,AU,-20.73,139.49,1570555729,75.2,16,0,19.46
Hithadhoo,MV,-0.6,73.08,1570555532,82.31,72,0,9.82
Mar del Plata,AR,-46.43,-67.52,1570555730,56.57,34,88,21.65
Dolores,UY,-33.53,-58.22,1570555730,75.99,21,14,1.99
Saskylakh,RU,71.97,114.09,1570555731,16.97,97,70,9.46
Odienne,CI,9.51,-7.57,1570555731,76.91,88,78,2.19
Zyryanka,RU,65.73,150.89,1570555732,17.87,70,100,5.7
Provideniya,RU,64.42,-173.23,1570555732,33.71,99,100,3.53
Labuhan,ID,-2.54,115.51,1570555733,72.59,85,0,1.86
Chincha Alta,PE,-13.42,-76.13,1570555733,71.6,30,90,10.29
Mozarlandia,BR,-14.74,-50.57,1570555734,97.07,30,62,3.42
Celestun,MX,20.87,-90.4,1570555734,81.05,76,100,4.76
Bredasdorp,ZA,-34.53,20.04,1570555513,66.2,48,0,11.41
Walvis Bay,NA,-22.95,14.51,1570555735,63.0,72,1,10.29
Fortuna,US,40.6,-124.16,1570555736,61.0,93,1,4.7
Lavrentiya,RU,65.58,-170.99,1570555737,32.45,98,100,5.03
Padang,ID,-0.92,100.36,1570555737,76.19,87,100,2.73
Honningsvag,NO,70.98,25.97,1570555738,39.2,71,75,6.93
Hobart,AU,-42.88,147.33,1570555554,46.0,75,75,10.29
Aykhal,RU,65.95,111.51,1570555739,17.6,92,90,8.95
Chokurdakh,RU,70.62,147.9,1570555739,4.55,98,3,1.75
Teguldet,RU,57.31,88.17,1570555740,32.81,91,19,4.23
Portland,US,43.66,-70.25,1570555740,64.4,48,75,13.87
Nikolskoye,RU,59.7,30.79,1570555741,41.0,95,75,8.95
Trairi,BR,-3.28,-39.27,1570555742,91.49,34,23,14.14
Vila Velha,BR,-3.71,-38.6,1570555742,87.8,48,20,23.04
Burnie,AU,-41.05,145.91,1570555743,42.01,77,1,11.01
Homer,US,59.64,-151.54,1570555743,48.2,86,75,5.82
Hirara,JP,24.8,125.28,1570555744,79.07,80,38,17.85
Mandalgovi,MN,45.76,106.27,1570555745,43.97,36,0,5.37
Port Augusta,AU,-32.49,137.76,1570555745,51.8,66,8,10.29
Estrela,BR,-29.5,-51.96,1570555746,81.0,54,87,3.0
Saint-Georges,CA,46.12,-70.67,1570555746,57.0,58,4,5.99
Price,US,39.6,-110.81,1570555747,64.99,12,1,3.36
Daru,PG,-9.07,143.21,1570555748,73.67,85,100,6.6
Turkeve,HU,47.1,20.75,1570555748,48.2,61,50,6.93
Cidreira,BR,-30.17,-50.22,1570555749,74.57,49,59,10.04
Cape Town,ZA,-33.93,18.42,1570555749,64.0,72,75,17.22
Yaan,NG,7.38,8.57,1570555750,75.11,92,83,4.22
Rocha,UY,-34.48,-54.34,1570555750,68.81,47,0,8.23
Kaitangata,NZ,-46.28,169.85,1570555751,48.99,91,100,3.0
Kieta,PG,-6.22,155.63,1570555709,80.51,77,100,5.1
Bambous Virieux,MU,-20.34,57.76,1570555752,73.4,69,40,14.99
Roald,NO,62.58,6.12,1570555753,46.4,87,75,11.41
Vao,EE,59.1,26.19,1570555753,38.39,96,100,5.6
Nanortalik,GL,60.14,-45.24,1570555754,39.65,88,100,10.81
Qaanaaq,GL,77.48,-69.36,1570555754,20.03,67,86,10.26
Anadyr,RU,64.73,177.51,1570555539,30.2,86,75,24.61
Zhangjiakou,CN,40.77,114.88,1570555755,43.25,34,87,1.12
Port Elizabeth,US,39.31,-74.98,1570555756,66.2,52,1,13.87
Isabela,PH,10.2,122.99,1570555756,80.87,79,36,7.25
