City Name,Country,Latitude,Longitude,Date,Temp,Humidity,Cloud Coverage,Wind Speed
Pahrump,US,36.21,-115.98,1570735771,64.0,8,1,3.36
Ostrovnoy,RU,68.05,39.51,1570735771,28.18,92,63,10.9
Oktyabrskiy,RU,55.61,37.97,1570735771,50.0,87,90,13.42
Pisco,PE,-13.71,-76.2,1570735772,71.6,30,20,12.75
Kargasok,RU,59.06,80.87,1570735772,33.58,67,100,13.96
Rikitea,PF,-23.12,-134.97,1570735772,68.68,71,82,11.07
Yulara,AU,-25.24,130.99,1570735772,60.8,17,0,5.82
Dikson,RU,73.51,80.55,1570735772,29.8,83,100,25.84
Port Elizabeth,US,39.31,-74.98,1570735773,75.99,38,1,13.87
Yellowknife,CA,62.45,-114.38,1570735773,37.99,72,75,5.82
Klaksvik,FO,62.23,-6.59,1570735773,44.6,93,100,9.17
Salinopolis,BR,-0.61,-47.36,1570735773,80.92,76,95,21.74
New Norfolk,AU,-42.78,147.06,1570735773,48.2,66,75,4.7
Georgetown,GY,6.8,-58.16,1570735774,86.0,66,40,9.17
Ushuaia,AR,-54.81,-68.31,1570735774,32.0,84,40,28.86
Punta Arenas,CL,-53.16,-70.91,1570735774,39.2,55,75,35.57
Fortuna,US,40.6,-124.16,1570735774,64.4,39,1,5.82
East London,ZA,-33.02,27.91,1570735775,60.8,63,75,8.05
Bethel,US,60.79,-161.76,1570735775,37.4,93,90,12.75
Oranjestad,AW,12.52,-70.03,1570735775,86.0,74,75,14.99
Saint George,GR,39.45,22.34,1570735775,64.4,88,40,3.2
Khani,GE,41.96,42.96,1570735775,69.8,60,0,8.05
Tasiilaq,GL,65.61,-37.64,1570735776,37.4,69,20,11.41
Kibaya,RW,-2.2,30.56,1570735776,69.8,77,40,3.36
Cape Town,ZA,-33.93,18.42,1570735776,61.0,72,40,10.29
Avarua,CK,-21.21,-159.78,1570735776,73.4,69,57,11.41
Soyo,AO,-6.13,12.37,1570735776,77.5,83,82,9.79
Bluff,AU,-23.58,149.07,1570735777,60.76,93,23,8.37
Norman Wells,CA,65.28,-126.83,1570735777,39.2,69,75,10.29
Tiksi,RU,71.64,128.87,1570735777,15.4,92,96,3.91
Jamkhed,IN,18.74,75.31,1570735777,75.88,77,51,7.77
Charlestown,US,41.38,-71.64,1570735777,55.0,81,90,16.11
Getulio Vargas,UY,-32.68,-53.55,1570735778,84.7,44,29,6.01
Havelock,US,34.88,-76.9,1570735778,66.99,68,90,13.87
Chuy,UY,-33.69,-53.46,1570735778,78.04,61,35,5.78
Bubaque,GW,11.28,-15.83,1570735778,82.9,73,73,9.23
Dzaoudzi,YT,-12.79,45.27,1570735778,78.8,88,41,3.36
Hami,CN,42.84,93.51,1570735779,58.78,23,0,9.87
Kavieng,PG,-2.57,150.8,1570735779,84.16,69,0,8.8
Barrow,AR,-38.31,-60.23,1570735779,76.96,35,67,13.12
Mbanza-Ngungu,CD,-5.25,14.87,1570735779,73.0,90,100,4.36
Katesh,TZ,-4.52,35.39,1570735779,64.36,83,36,9.59
Hithadhoo,MV,-0.6,73.08,1570735779,82.18,79,100,14.88
Batagay-Alyta,RU,67.8,130.41,1570735780,8.38,79,100,4.0
San Patricio,PY,-26.98,-56.83,1570735780,93.34,31,0,6.99
Valparaiso,US,41.47,-87.06,1570735780,75.2,78,40,3.36
Vila,IT,45.18,8.4,1570735780,61.0,100,98,1.12
Sol-Iletsk,RU,51.16,55.0,1570735781,46.36,61,63,3.45
Busselton,AU,-33.64,115.35,1570735781,61.0,75,60,11.54
Bredasdorp,ZA,-34.53,20.04,1570735781,57.2,67,57,5.82
Hermanus,ZA,-34.42,19.24,1570735781,60.01,79,71,4.0
Nova Zagora,BG,42.49,26.01,1570735781,64.99,77,40,4.7
Qaanaaq,GL,77.48,-69.36,1570735782,24.4,64,50,11.53
Ratnapura,IN,17.9,77.63,1570735782,72.46,92,100,6.0
Airai,TL,-8.93,125.41,1570735782,66.52,29,54,5.56
Cidreira,BR,-30.17,-50.22,1570735782,69.22,80,1,11.17
Chengam,IN,12.3,78.79,1570735842,72.21,93,100,1.33
Alakurtti,RU,66.96,30.34,1570735843,28.0,91,29,3.0
Vaini,IN,15.34,74.49,1570735843,69.19,94,100,2.04
Wonthaggi,AU,-38.6,145.59,1570735843,50.0,91,65,9.44
Altamira,BR,-3.2,-52.21,1570735844,93.2,52,75,6.93
Saskylakh,RU,71.97,114.09,1570735844,12.45,93,100,14.56
Hilo,US,19.71,-155.08,1570735844,77.0,83,75,6.93
Atuona,PF,-9.8,-139.03,1570735844,78.82,70,0,10.86
Tautira,PF,-17.73,-149.15,1570735844,80.6,65,75,5.82
Albany,US,42.65,-73.75,1570735845,70.0,37,20,8.05
Puerto Colombia,CO,10.99,-74.96,1570735845,84.99,78,40,5.82
Mataura,NZ,-46.19,168.86,1570735845,43.0,91,100,8.99
Wajima,JP,37.4,136.9,1570735845,70.32,63,50,2.7
Yeppoon,AU,-23.13,150.74,1570735846,69.8,73,90,6.93
Rock Springs,US,41.59,-109.2,1570735846,21.2,62,90,3.36
Taoudenni,ML,22.68,-3.98,1570735846,84.94,19,0,12.97
Kapaa,US,22.08,-159.32,1570735846,84.2,70,20,4.7
Gerash,IR,27.67,54.14,1570735846,73.4,64,94,3.01
Nguruka,TZ,-5.11,31.04,1570735846,71.65,70,29,0.99
Khovu-Aksy,RU,51.13,93.72,1570735847,28.8,63,0,0.72
Kahului,US,20.89,-156.47,1570735847,86.0,66,20,3.36
Avera,US,33.19,-82.53,1570735847,82.99,44,1,9.17
Nizhniy Kuranakh,RU,58.84,125.49,1570735847,13.03,93,99,6.23
Butaritari,KI,3.07,172.79,1570735847,84.47,63,66,8.9
Yining,CN,29.04,114.56,1570735848,66.52,90,80,1.66
Puerto Ayora,EC,-0.74,-90.35,1570735848,73.4,60,13,19.46
Poso,ID,-1.4,120.75,1570735848,67.24,70,100,3.47
New London,US,41.36,-72.1,1570735848,66.2,76,90,12.75
Amapa,HN,15.09,-87.97,1570735849,91.4,55,40,4.7
Valley City,US,46.92,-98.0,1570735849,33.8,98,40,19.46
Moratuwa,LK,6.77,79.88,1570735849,78.8,88,40,4.7
Saldanha,PT,41.42,-6.55,1570735849,60.85,46,0,2.83
Caohe,CN,32.93,105.08,1570735849,49.14,69,100,2.94
Hobart,AU,-42.88,147.33,1570735850,48.2,66,75,4.7
San Jose,HN,14.25,-87.96,1570735850,86.0,58,75,6.93
Lawton,US,34.61,-98.39,1570735850,78.8,46,90,16.11
Tuktoyaktuk,CA,69.44,-133.03,1570735850,33.8,76,20,5.82
Tineo,ES,43.34,-6.41,1570735850,63.0,82,0,3.36
Camopi,GF,3.17,-52.33,1570735851,88.07,44,100,4.28
Lithakia,GR,37.72,20.83,1570735851,69.8,94,40,7.37
Cabo San Lucas,MX,22.89,-109.91,1570735851,93.2,49,20,5.82
Sangar,RU,63.92,127.47,1570735851,17.58,73,39,0.36
Walvis Bay,NA,-22.95,14.51,1570735852,63.0,77,0,6.93
Esperance,AU,-33.86,121.89,1570735852,53.6,100,90,5.82
Boa Vista,BR,2.82,-60.67,1570735852,91.4,46,40,9.17
Basco,US,40.33,-91.2,1570735852,66.0,88,90,8.05
Saint-Philippe,CA,45.36,-73.48,1570735853,66.0,39,1,12.75
Ugoofaaru,MV,5.67,73.0,1570735853,82.72,73,99,9.46
Ribeira Grande,PT,38.52,-28.7,1570735853,71.6,68,40,10.29
Wanparti,IN,16.36,78.06,1570735853,75.0,87,100,4.07
Severo-Kurilsk,RU,50.68,156.12,1570735854,42.71,77,6,6.43
Portel,BR,-1.94,-50.82,1570735854,86.77,52,48,2.74
Mataram,ID,-5.32,105.06,1570735914,69.69,98,52,3.41
